issn,journal_title,oa_model,apc,year,publisher
2578-5745,ACR Open Rheumatology,Open Access,2800,2022,wiley
1600-0412,Acta Obstretricia et Gynecologia Scandinavica,Open Access,2650,2022,wiley
2052-8817,Acute Medicine & Surgery,Open Access,2250,2022,wiley
2699-9412,Advanced Energy and Sustainability Research,Open Access,3000,2022,wiley
2641-6573,Advanced Genetics,Open Access,5200,2022,wiley
2640-4567,Advanced Intelligent Systems,Open Access,2900,2022,wiley
2699-9307,Advanced NanoBioMed Research,Open Access,3500,2022,wiley
2699-9293,Advanced Photonics Research,Open Access,2750,2022,wiley
2198-3844,Advanced Science,Open Access,5200,2022,wiley
2692-4560,Aggregate,Open Access,4000,2022,wiley
2643-8909,Aging and Cancer,Open Access,3000,2022,wiley
1474-9726,Aging Cell,Open Access,2900,2022,wiley
2475-0360,Aging Medicine,Open Access,2000,2022,wiley
2471-9625,Agricultural & Environmental Letters,Open Access,1325,2022,wiley
2769-2485,Agricultural and Applied Economics Association,Open Access,2500,2022,wiley
2639-6696,"Agrosystems, Geosciences & Environment",Open Access,1350,2022,wiley
2576-604X,AGU Advances,Open Access,2200,2022,wiley
2371-9621,AI Magazine,Open Access,2400,2022,wiley
2352-8729,"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",Open Access,2200,2022,wiley
2352-8737,Alzheimer's & Dementia: Translational Research & Clinical Interventions,Open Access,2200,2022,wiley
2628-5452,Analytical Science Advances,Open Access,2500,2022,wiley
2576-2095,Animal Models and Experimental Medicine,Open Access,2000,2022,wiley
2328-9503,Annals of Clinical and Translational Neurology (Electronic) ,Open Access,3500,2022,wiley
2475-0328,Annals of Gastroenterological Surgery,Open Access,2035,2022,wiley
1542-474X,Annals of Noninvasive Electrocardiology ,Open Access,3000,2022,wiley
2168-0450,Applications in Plant Sciences,Open Access,1800,2022,wiley
2689-5595,Applied AI Letters,Open Access,2100,2022,wiley
2693-8847,"Aquaculture, Fish and Fisheries",Open Access,2000,2022,wiley
2050-2680,Asia & The Pacific Policy Studies,Open Access,0,2022,wiley
1530-261X,Atmospheric Science Letters,Open Access,2100,2022,wiley
1753-6405,Australian and New Zealand Journal of Public Health,Open Access,0,2022,wiley
2768-1696,Battery Energy,Open Access,3500,2022,wiley
2380-6761,Bioengineering & Translational Medicine,Open Access,2500,2022,wiley
2405-4518,Biosurface and Biotribology,Open Access,2200,2022,wiley
2688-4526,BJUI Compass,Open Access,2400,2022,wiley
1502-3885,Boreas,Open Access,2800,2022,wiley
