Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"(NgCrossed D Sign ti TCrossed D Sign hinga) School of Psychology, University of Auckland",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"(Te Rarawa, Te Aupōuri, NgCrossed D Sign ti Kahu) School of Psychology, University of Auckland",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"6 Lorne Street, Auckland, 1010, New Zealand, Department of Engineering Science, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"A Better Start National Science Challenge, Auckland, New Zealand, Centre of Methods and Policy Application in the Social Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start National Science Challenge, Auckland, New Zealand, Department of Psychological Medicine, University of Auckland",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"A Better Start National Science Challenge, Dunedin, New Zealand, Centre of Methods and Policy Application in the Social Sciences (COMPASS), University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start National Science Challenge, Dunedin, New Zealand, Centre of Methods and Policy Application in the Social Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start National Science Challenge, Dunedin, New Zealand, Liggins Institute, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start National Science Challenge, New Zealand, The University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"A Better Start – National Science Challenge, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"A Better Start–National Science Challenge, Auckland, New Zealand, Centre of Methods and Policy Application in the Social Sciences (COMPASS), University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"A Better Start–National Science Challenge, Auckland, New Zealand, Liggins Institute, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"A Better Start–National Science, Challenge, Auckland, New Zealand, Centre for Longitudinal Research–He Ara ki Mua, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start–National Science, Challenge, Auckland, New Zealand, Liggins Institute, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start—National Science Challenge, Auckland, 1142, New Zealand, Centre for Longitudinal Research—He Ara ki Mua, School of Population Health, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start—National Science Challenge, Auckland, 1142, New Zealand, Liggins Institute, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start—National Science Challenge, Auckland, 1142, New Zealand, TAHA Well Pacific Mother and Infant Service, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start—National Science Challenge, Auckland, New Zealand, Centre for Longitudinal Research–He Ara ki Mua, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"A Better Start—National Science Challenge, Auckland, New Zealand, Centre of Methods and Policy Application in the Social Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"A Better Start—National Science Challenge, Auckland, New Zealand, Liggins Institute, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,0,0%
