"DOI","Error"
"10.5281/zenodo.4268559","Invalid DOI"
"10.5303/JKAS.2020.53.6.161","DOI not in crossref"
"10.1111/apt.16076","Invalid DOI"
"10.5699/modelangrevi.115.0929","Invalid DOI"
"10.12989/sem.2020.75.6.701","DOI not in crossref"
"10.1136/jech-2020-SSMabstracts.113","Invalid DOI"
"10.29158/JAAPL.003924-20","Invalid DOI"
"10.1111/sjtg.12340","Invalid DOI"
"10.1016/j.ijdrr.2010.101625","Invalid DOI"
"10.1371/journal.pone.0236085","DOI not in crossref"
"10.12989/anr.2020.9.1.047","DOI not in crossref"
"10.12989/cac.2020.26.1.021","DOI not in crossref"
"10.22120/jwb.2020.121476.1117","DOI not in crossref"
"10.1016/j.ijheatfluidflow.2019.108535","Invalid DOI"
"10.12989/cac.2020.25.4.283","DOI not in crossref"
"10.12989/acc.2020.9.4.397","DOI not in crossref"
"10.12989/scs.2020.34.3.333","DOI not in crossref"
"10.12989/scs.2020.34.2.171","DOI not in crossref"
"10.19272/202011402006","Invalid DOI"
"10.3233/SHTI200307","DOI not in crossref"
"10.1109/VRW50115.2020.00-99","Invalid DOI"
"10.1002/14651858.00004945.pub5","Invalid DOI"
"10.1002114651858.CD013651.pub2","Invalid DOI"
"10.17179/excli2020-2766","DOI not in crossref"
"10.1002/14551858.00000341.pub3","Invalid DOI"
"10.1002/14551858.CD012977.pub2","Invalid DOI"
"10.1002/14651858.00007807.pub4","Invalid DOI"
"10.23638/LMCS-16(2:2)2020","DOI not in crossref"
"10.1109/VR46266.2020.000-5","Invalid DOI"
"10.32604/cmc.2020.08027","Invalid DOI"
"10.4230/LIPIcs.STACS.2020.55","DOI not in crossref"
"10.1038/s41390-0537-y","Invalid DOI"
"10.1136/fetalneonatal-2019-317417","Invalid DOI"
"10.1371/journal.pmed.1003002;10.1371/journal.pmed.1003002.r001;10.1371/journal.pmed.1003002.r002;10.1371/journal.pmed.1003002.r003;10.1371/journal.pmed.1003002.r004","Invalid DOI"
"10.29158/JAAPL.003885-19","Invalid DOI"
"10.12989/scs.2019.33.4.595","DOI not in crossref"
"10.1016/j.jcsr.2019.105599","Invalid DOI"
"10.12989/eas.2019.17.5.521","DOI not in crossref"
"10.12989/scs.2019.33.2.225","DOI not in crossref"
"10.12989/scs.2019.33.1.037","DOI not in crossref"
"10.1016/52589-7500(19)30130-X","Invalid DOI"
"10.1016/j.cbpa.2018.12.07","Invalid DOI"
"10.12989/sss.2019.24.4.435","DOI not in crossref"
"10.1371/journal.pone.0221521;10.1371/journal.pone.0221521.r001;10.1371/journal.pone.0221521.r002;10.1371/journal.pone.0221521.r003;10.1371/journal.pone.0221521.r004","Invalid DOI"
"10.1108/MIP-10-2018-0434","Invalid DOI"
"10.4473/TPM26.3.6","DOI not in crossref"
"10.1371/journal.pone.0220169","Line did not execute"
"10.2196/13748D","Invalid DOI"
"10.12989/scs.2019.31.6.601","DOI not in crossref"
"10.12989/scs.2019.31.5.453","DOI not in crossref"
"10.29158/JAAPL.003839-19","Invalid DOI"
"10.6113/JPE.2019.19.3.655","DOI not in crossref"
"10.29158/JAAPL.003825-19","Invalid DOI"
"10.18113/P8ijea20n5","DOI not in crossref"
"10.12989/eas.2019.16.2.209","DOI not in crossref"
"10.3233/SHTI190441","DOI not in crossref"
"10.3233/SHTI190675","DOI not in crossref"
"10.3233/SHTI190721","DOI not in crossref"
"10.1117/12.2541240","Invalid DOI"
"10.26107/RBZ-2019-0045","DOI not in crossref"
"10.4103/JASI.JASI_30_19","Invalid DOI"
"10.1002/14651858.C.D013038.pub2","Invalid DOI"
"10.1478/AAPP.971A1","DOI not in crossref"
"10.5277/ABB-01309-2019-02","DOI not in crossref"
"10.23638/LMCS-15(2:4)2019","DOI not in crossref"
"10.7416/ai.2019.2257","DOI not in crossref"
"10.3233/AIS-180510","Invalid DOI"
