Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
,0,1,0,0,0,0,1,100,0,0,100
#1982/16,1,0,0,0,0,0,1,0,1,0,100
'333 High Level Talents Project' of Jiangsu Province,1,0,0,0,0,0,1,100,0,0,100
'Adaptation and Resilience to Climate Change (ARCC)' project under the Sustainability and resilience -tackling climate and environmental changes programme - Swedish Research Council (Vetenskapsradet),0,0,0,0,1,0,1,100,0,0,100
'Agence Nationale de la Recherche' (ANR MOBIGEN)French National Research Agency (ANR),0,1,0,0,0,0,1,100,0,0,100
'Agence Nationale de la Recherche' ANR MOBIGENFrench National Research Agency (ANR),0,1,0,0,0,0,1,100,0,0,100
'Better Border Biosecurity' collaboration,1,0,0,0,0,0,1,100,0,0,100
'Extrusion Plus' programme,1,0,0,0,0,0,1,100,0,0,100
'Fundacao de Amparo aPesquisa do Estado de SaoPaulo' (FAPESP)Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP),0,0,0,1,0,0,1,100,0,0,100
'Investments for the Future' program from the French National Agency for ResearchFrench National Research Agency (ANR),0,0,0,0,1,0,1,100,0,0,100
'Oceans of Change' Project,1,0,0,0,0,0,1,100,0,0,100
'Ramon y Cajal' contractSpanish Government,0,0,0,0,0,1,1,100,0,0,100
'Universitat Zuric,0,0,0,0,0,1,1,100,0,0,100
(CAPES)Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),0,0,0,0,1,0,1,100,0,0,100
(FAPESP)Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP),0,0,0,0,0,1,1,100,0,0,100
(Italian Emergency Management Agency),1,0,0,0,0,0,1,0,0,1,100
"(MAURICE AND PHYLlis Paykel Trust) at the University of Auckland, Auckland, New Zealand",1,0,0,0,0,0,1,0,1,0,100
"(Ministry of Science and Education, Republic of Croatia)",0,1,0,0,0,0,1,100,0,0,100
(New Zealand) New Zealand Needle Exchange Services Trust,1,0,0,0,0,0,1,0,1,0,100
"(New Zealand) The School of Pharmacy, University of Auckland",1,0,0,0,0,0,1,0,1,0,100
(Norwegian Research Council)Research Council of NorwayEuropean Commission,0,0,0,0,1,0,1,100,0,0,100
(Regional Hub Project Fund -Northern Hub),1,0,0,0,0,0,1,0,1,0,100
(UASLP-FAI),0,0,0,0,0,1,1,100,0,0,100
(UK) The Royal Pharmaceutical Society,1,0,0,0,0,0,1,0,1,0,100
"/3-1, HA 7574/1-1",0,1,0,0,0,0,1,100,0,0,100
00023001,0,0,0,0,0,1,1,100,0,0,100
001331,1,0,0,0,0,0,1,0,1,0,100
01 GD 9802/4,0,0,0,0,1,0,1,100,0,0,100
011733,1,0,0,0,0,0,1,0,1,0,100
013694,1,0,0,0,0,0,1,0,1,0,100
016.140.316/13710,0,1,0,0,0,0,1,100,0,0,100
016.150.610,0,0,0,0,0,1,1,100,0,0,100
"01DR17024, 872488, MSCA-RISE-2019",1,0,0,0,0,0,1,0,1,0,100
01GY1150,0,0,0,0,1,0,1,100,0,0,100
"01GY1150, 11-2",0,0,0,0,1,0,1,100,0,0,100
"01ZZ0106, 7DZAIQTX",0,0,0,0,1,0,1,100,0,0,100
"022300, 19-019E, ID EGCG14",1,0,0,0,0,0,1,0,1,0,100
024.002.002,0,0,0,0,0,1,1,100,0,0,100
026,0,0,0,0,1,0,1,100,0,0,100
"03/183, 08/121, 11/800, 16/609, 2002-8, 2008-14",1,0,0,0,0,0,1,0,0,1,100
031861LB,1,0,0,0,0,0,1,0,0,1,100
0331,1,0,0,0,0,0,1,0,0,1,100
"03G0753A, 2010-2014",1,0,0,0,0,0,1,0,1,0,100
