Repository,Items,Published Version,Accepted Version,Submitted Version,Null
CULeuclid,1,0,0,1,0
DiVA.org,62,53,0,9,0
EPrintsOUDIR.lib.okayama-u.ac.jp,1,1,0,0,0
EVASTAR-Karlsruhe.de,78,78,0,0,0
HAL,84,39,0,45,0
RePEc,30,13,0,17,0
aaltodoc.aalto.fi,5,3,1,1,0
aber.ac.uk,3,1,0,2,0
addi.ehu.es,1,1,0,0,0
ageconsearch.umn.edu,1,1,0,0,0
air.unimi.it,15,13,0,2,0
air.uniud.it,1,0,0,1,0
aisberg.unibg.it,188,151,0,37,0
alma.61RMIT_INST,1,1,0,0,0
apo-prod.ansto.gov.au,1,1,0,0,0
arXiv.org,447,0,3,444,0
archimer.ifremer.fr,10,8,0,2,0
archive.lstmed.ac.uk,7,0,7,0,0
archive.ugent.be,224,223,1,0,0
arpi.unipi.it,76,66,0,10,0
arro.anglia.ac.uk,4,0,4,0,0
arts.units.it,132,108,0,24,0
aura.abdn.ac.uk,18,14,2,2,0
aut.researchgateway.ac.nz,1,0,0,1,0
authors.library.caltech.edu,112,0,112,0,0
basepub.dauphine.psl.eu,1,0,0,1,0
bib-pubdb1.desy.de,135,135,0,0,0
bibliotecadigital.udea.edu.co,1,0,1,0,0
boa.unimib.it,56,40,0,16,0
bora.uib.no,4,1,3,0,0
boris.unibe.ch,14,13,1,0,0
bradscholars.brad.ac.uk,1,1,0,0,0
brage.bibsys.no,1,1,0,0,0
brage.inn.no,5,5,0,0,0
bura.brunel.ac.uk,15,14,0,1,0
cdm21054.contentdm.oclc.org,4,3,0,1,0
cds.cern.ch,205,162,0,43,0
centaur.reading.ac.uk,4,0,4,0,0
circle.library.ubc.ca,3,3,0,0,0
cisti-icist.nrc-cnrc.ca,1,0,0,1,0
clok.uclan.ac.uk,3,0,3,0,0
collections.unu.edu,1,1,0,0,0
comum.rcaap.pt,8,7,0,1,0
cris.unibo.it,100,88,0,12,0
cronfa.swan.ac.uk,13,7,6,0,0
darchive.mblwhoilibrary.org,5,4,0,1,0
dare.uva.nl,2,2,0,0,0
ddd.uab.cat,6,6,0,0,0
deepblue.lib.umich.edu,6,5,0,1,0
dialnet.unirioja.es,2,0,0,2,0
digibug.ugr.es,5,4,0,1,0
digibuo.uniovi.es,169,141,0,28,0
digital.csic.es,114,87,0,27,0
digital.library.adelaide.edu.au,29,21,0,8,0
digitalcommons.bucknell.edu,1,0,0,1,0
digitalcommons.calpoly.edu,2,1,0,1,0
digitalcommons.odu.edu,1,1,0,0,0
digitalcommons.unl.edu,1,1,0,0,0
digitalcommons.uri.edu,2,2,0,0,0
digitalcommons.usu.edu,4,1,0,3,0
digitalcommons.wustl.edu,1,1,0,0,0
digitalscholarship.unlv.edu,1,0,0,1,0
diposit.ub.edu,13,11,2,0,0
dipot.ulb.ac.be,201,160,0,41,0
discovery.dundee.ac.uk,10,7,0,3,0
doc.rero.ch,8,6,0,2,0
dora,206,162,40,0,0
dora.dmu.ac.uk,2,0,0,2,0
doras.dcu.ie,2,0,2,0,0
dovepress.com,2,2,0,0,0
dro.deakin.edu.au,6,6,0,0,0
dro.dur.ac.uk.OAI2,13,0,13,0,0
dsp.tecnalia.com,1,1,0,0,0
dspace.flinders.edu.au,6,1,5,0,0
dspace.lboro.ac.uk,1,0,0,1,0
dspace.lib.cranfield.ac.uk,2,0,0,2,0
dspace.library.uu.nl,3,3,0,0,0
dspace.library.uvic.ca,1,1,0,0,0
dspace.mit.edu,42,40,0,2,0
dspace.nwu.ac.za,2,1,0,1,0
dspace.stir.ac.uk,7,4,2,1,0
dspace.ucuenca.edu.ec,2,2,0,0,0
dugi-doc,2,2,0,0,0
dune.une.edu,1,1,0,0,0
e-space.mmu.ac.uk,8,0,8,0,0
earsiv.kmu.edu.tr,185,124,0,61,0
ecommons.aku.edu,3,3,0,0,0
ecommons.luc.edu,1,1,0,0,0
econstor.eu,6,2,0,4,0
edoc.mdc-berlin.de,1,0,1,0,0
edoc.unibas.ch,2,0,1,1,0
edpsciences.org,3,0,0,3,0
