Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
", Suicide and Mental Health Research Group University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"A Better Start National Science Challenge, Auckland, New Zealand, Centre for Pacific Health, Va'a O Tautai, Health Sciences Division, University of Otago",2,1,0,0,0,0,0,0,0,,0,0,0%
"A Better Start National Science Challenge, Auckland, New Zealand, Dean of the Otago Medical School, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start National Science Challenge, Auckland, New Zealand, Department of Public Health, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"A Better Start National Science Challenge, Auckland, New Zealand, Department of Women's and Children's Health, University of Otago",2,1,0,0,0,0,0,0,0,,0,0,0%
"A Better Start National Science Challenge, Auckland, New Zealand, Dunedin School of Medicine, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"AIDS Epidemiology Group, Department of Preventive and Social Medicine, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Accounting, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Active Living Laboratory, School for Physical Education, Sport and Exercise Sciences, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Active Living Laboratory, School of Physical Education, Sport and Exercise Science, University of Otago",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Active Living Laboratory, School of Physical Education, Sport and Exercise Sciences, University of Otago",6,1,5,0,0,0,0,6,5,83%,1,0,100%
"AgResearch, Invermay Agricultural Centre, Mosgiel, New Zealand, Genetics Otago, Department of Biochemistry, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"AgResearch, Invermay Research Centre, Mosgiel, 9092, New Zealand, Department of Botany, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"AgResearch, Te Ohu Rangahau Kai, Palmerston North, New Zealand, Dodd-Walls Centre and Department of Chemistry, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, Klußmannstraße 3d, Bremerhaven, 27570, Germany, Department of Physics, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Animal Welfare Office, University of Otago",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Antarctic Biological Research Initiative, Bolivar, SA  5110, Australia, Department of Ecology and Evolutionary Biology, Cornell University, Ithaca, NY  14853, United States, Department of Anatomy, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Aquatic Ecology and Centre for Water and Environmental Research, University of Duisburg-Essen, Universitätsstraße 5, Essen, D-45141, Germany, Water Research Group, Unit for Environmental Sciences and Management, North-West University, Private Bag X6001, Potchefstroom, 2520, South Africa, Department of Zoology, University of Otago",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Archaeology Programme, School of Social Sciences, University of Otago",2,1,0,0,0,0,1,2,1,50%,0,1,100%
