"DOI","Error"
"10.1021/acschemneuro.8b00651","Line did not execute"
"10.20507/MAIJournal.2019.8.2.10","Line did not execute"
"10.1038/s41598-019-53107-3","Line did not execute"
"10.1039/c9cc03321a","Line did not execute"
"10.1016/j.jsb.2019.04.008","Line did not execute"
"10.1128/AEM.02783-18","Line did not execute"
"10.1016/j.foodchem.2019.04.021","Line did not execute"
"10.1080/1177083X.2018.1532915","Line did not execute"
"10.1016/j.neuro.2019.04.002","Line did not execute"
"10.1016/j.gca.2019.03.029","Line did not execute"
"10.1016/j.geomorph.2019.07.012","Line did not execute"
"10.1080/1177083X.2018.1508479","Line did not execute"
"10.1016/j.lwt.2019.108545","Line did not execute"
"10.1080/03036758.2019.1648303","Line did not execute"
"10.1038/s41419-019-1861-1","Line did not execute"
"10.3390/nu11050994","Line did not execute"
"10.1080/03036758.2019.1668814","Line did not execute"
"10.1080/01140671.2019.1657911","Line did not execute"
"10.1080/01140671.2018.1540437","Line did not execute"
"10.1016/j.neuropharm.2019.107670","Line did not execute"
"10.20417/nzjecol.43.35","Line did not execute"
"10.1523/JNEUROSCI.1492-19.2019","Line did not execute"
"10.1002/aoc.5137","Line did not execute"
"10.1080/1061186X.2019.1566341","Line did not execute"
"10.1039/c9dt02025j","Line did not execute"
"10.1111/inm.12637","Line did not execute"
"10.1080/10837450.2019.1665069","Line did not execute"
"10.1080/01140671.2019.1576745","Line did not execute"
"10.1103/PhysRevB.100.054505","Line did not execute"
"10.1111/1747-0080.12477","Line did not execute"
"10.1080/1177083X.2019.1580752","Line did not execute"
"10.1080/1177083X.2018.1538053","Line did not execute"
"10.5459/bnzsee.52.1.1-22","Line did not execute"
"10.3290/j.jad.a42305","DOI not in crossref"
"10.3389/fevo.2019.158","Invalid DOI"
"10.1080/01140671.2019.1691610","Line did not execute"
"10.1016/j.pep.2019.03.005","Line did not execute"
"10.7717/peerj.7670","Line did not execute"
"10.1080/1177083X.2019.1625934","Line did not execute"
"10.20507/MAIJournal.2019.8.1.5","Line did not execute"
"10.1109/IVCNZ48456.2019.8961016","Line did not execute"
"10.1371/journal.pone.0226152","Line did not execute"
"10.1080/03036758.2019.1691613","Line did not execute"
"10.1386/nzps_00004_1","Line did not execute"
"10.1109/ISMAR.2019.00006","Invalid DOI"
"10.1109/ISMAR.2019.00007","Invalid DOI"
"10.13982/j.mfst.1673-9078.2019.9.001","DOI not in crossref"
"10.1111/1467-9809.12581","Line did not execute"
"10.1002/9781119119302.ch02","Invalid DOI"
"10.3390/fishes4010016","Line did not execute"
"10.3390/fishes4030041","Line did not execute"
"10.15173/russell.v39i1.4067","Invalid DOI"
"10.1364/CLEO-QELS.2019.FM1A.5","Invalid DOI"
"10.1080/1177083X.2019.1632907","Line did not execute"
"10.20507/MAIJournal.2019.8.1.3","Line did not execute"
"10.1007/978-1-4939-9195-2_4","Line did not execute"
"10.4103/JCD.JCD_302_18","Invalid DOI"
"10.1007/s10689-018-0080-8","Line did not execute"
"10.1093/cid/ciz450","Line did not execute"
"10.1177/0271678X18755628","Line did not execute"
"10.1922/CDH_4337Clark08","DOI not in crossref"
"10.1111/dar.12886","Line did not execute"
"10.1111/add.14772","Line did not execute"
"10.1016/j.puhe.2018.08.014","Line did not execute"
"10.1113/EP087437","Line did not execute"
"10.1922/EJPRD_01832Strain07","DOI not in crossref"
"10.1111/imj.14135","Line did not execute"
"10.1186/s12939-018-0904-z","Line did not execute"
"10.1111/ceo.13350","Line did not execute"
"10.1186/s12885-019-6401-y","Line did not execute"
"10.1016/j.ssmph.2019.100450","Line did not execute"
"10.1186/s13063-019-3553-7","Line did not execute"
"10.1016/S2214-109X(19)30236-0","Line did not execute"
"10.1016/j.semnephrol.2019.03.001","Line did not execute"
"10.1177/0306624X18808675","Line did not execute"
"10.1186/s12889-019-7582-7","Line did not execute"
"10.23919/CLEO.2019.8749851","Invalid DOI"
"10.1016/B978-0-128-12735-3.00164-3","Invalid DOI"
"10.1016/B978-0-12-812735-3.00531-8","Invalid DOI"
"10.1016/B978-0-12-812735-3.00550-1","Invalid DOI"
"10.1016/B978-0-128-12735-3.00031-5","Invalid DOI"
"10.1016/B978-0-128-12735-3.00105-9","Invalid DOI"
"10.1016/B978-0-128-12735-3.00130-8","Invalid DOI"
"10.1080/09638288.2019.1701102","Line did not execute"
"10.1002/cbic.201900505","Line did not execute"
"10.1002/eat.23372","Line did not execute"
"10.1002/gps.5266","Line did not execute"
"10.1007/s00125-020-05202-8","Line did not execute"
"10.1016/j.bbadis.2020.165742","Line did not execute"
"10.1016/j.bbagen.2020.129673","Line did not execute"
"10.1016/j.bbapap.2019.02.008","Line did not execute"
"10.1016/j.bioorg.2020.104386","Line did not execute"
"10.1016/j.fbp.2020.08.004","Line did not execute"
"10.1016/j.lwt.2020.110215","Line did not execute"
"10.1016/j.omtn.2020.09.041","Line did not execute"
"10.1017/S0022377820001312","Line did not execute"
"10.1021/acs.jmedchem.0c01321","Line did not execute"
"10.1021/acs.jpca.0c00786","Line did not execute"
"10.1021/acsinfecdis.0c00070","Line did not execute"
"10.1037/dev0000835","Line did not execute"
"10.1038/s41366-019-0437-6","Line did not execute"
"10.1038/s41368-020-00104-2","Line did not execute"
"10.1038/s41467-019-14154-6","Line did not execute"
"10.1039/d0ob00223b","Line did not execute"
"10.1039/d0ob00950d","Line did not execute"
"10.1055/s-0039-1690695","Line did not execute"
"10.1073/pnas.1911243117","Line did not execute"
"10.1080/03036758.2020.1726416","Line did not execute"
"10.1080/03036758.2020.1856147","Line did not execute"
"10.1080/1177083X.2019.1657472","Line did not execute"
"10.1080/1177083X.2019.1669671","Line did not execute"
"10.1080/1177083X.2019.1676798","Line did not execute"
"10.1080/1177083X.2019.1678492","Line did not execute"
"10.1080/1177083X.2020.1728346","Line did not execute"
"10.1093/intqhc/mzaa084","Line did not execute"
"10.1097/SCS.0000000000006226","Line did not execute"
"10.1098/rspa.2020.0003rspa20200003","Invalid DOI"
"10.1098/rspa.2020.0356rspa20200356","Invalid DOI"
"10.1098/rspb.2020.0690rspb20200690","Invalid DOI"
"10.1098/rspb.2020.0712rspb20200712","Invalid DOI"
"10.1098/rspb.2020.1081rspb20201081","Invalid DOI"
"10.1098/rspb.2020.1947rspb20201947","Invalid DOI"
"10.1098/rstb.2019.0583rstb20190583","Invalid DOI"
"10.1107/S2056989020004260","Line did not execute"
"10.1111/bph.15270","Line did not execute"
"10.1111/cei.13377","Line did not execute"
"10.1111/ceo.13766","Line did not execute"
"10.1111/geb.13005","Line did not execute"
