Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
,0,1,0,0,0,0,1,100,0,0,100
"$2,934",1,0,0,0,0,0,1,0,1,0,100
"(Food Science and Pharmacy College of Xinjiang Agriculture University, China)",1,0,0,0,1,0,2,50,1,0,100
(Kingdom of Spain),0,0,0,1,0,0,1,100,0,0,100
.1.05/2.1.00/19.0380,0,0,0,0,0,1,1,100,0,0,100
0112-0313,0,1,0,0,0,0,1,100,0,0,100
013/2019/Z,0,0,0,0,0,1,1,100,0,0,100
"01RX000622, 1IK2CX001680, 1IK2RX000709, 1K1RX002325, 1K2RX002922",1,0,0,0,0,0,1,0,0,0,0
020202,1,0,0,0,0,0,1,0,1,0,100
"03/183, 08/121, 11/800, 16/609, 2002-8, 2008-14",1,0,0,0,0,0,1,0,0,1,100
044096,0,1,0,0,0,0,1,100,0,0,100
"064, 077",0,1,0,0,0,0,1,100,0,0,100
07.10.2013,1,0,0,0,0,0,1,0,1,0,100
"07/356, 14/156",0,1,0,0,0,0,1,100,0,0,100
08-UOO-043,2,0,0,0,0,0,2,0,2,0,100
0822B01006,1,0,0,0,0,0,1,0,1,0,100
09120030,0,0,0,0,1,0,1,100,0,0,100
"1/0458/18, 1/0684/16, SFRH/BD/126560/2016",0,1,0,0,0,0,1,100,0,0,100
10-02,0,1,0,0,0,0,1,100,0,0,100
10-085245,1,0,0,0,0,0,1,0,1,0,100
10-SRP-IJD-01,1,0,0,0,0,0,1,0,1,0,100
"10/248, 16/443",1,0,0,0,0,0,1,0,0,1,100
"101108, 1114472",1,0,0,0,0,0,1,0,0,1,100
"1060996, 1080963, 1137687, 566593",1,0,0,0,0,0,1,0,1,0,100
"1074386, 110001002, 1118576, 13CVD01, 15CVD03, 573705",1,0,0,0,0,0,1,0,0,1,100
"1099149, 300705, 455521",0,0,0,1,0,0,1,100,0,0,100
"11/ DDTM/657-SERN-NB, 11/2012, 2010-DDEASE-105, 2010/DDEA/ SEPR/175, 29/2012",1,0,0,0,0,0,1,0,1,0,100
110614,1,0,0,0,0,0,1,0,0,0,0
"111 projectMinistry of Education, China - 111 Project",2,0,0,0,0,0,2,0,2,0,100
111281.01,0,0,0,0,0,1,1,100,0,0,100
112-201501-00973,1,0,0,0,0,0,1,0,1,0,100
"1134894, 1161445",1,0,0,0,0,0,1,0,1,0,100
1142011,0,1,0,1,0,0,2,100,0,0,100
114546.01,1,0,0,0,0,0,1,0,1,0,100
"1155-RPG, 1457-RPG",0,1,0,0,0,0,1,100,0,0,100
1171014,0,1,0,0,0,0,1,100,0,0,100
12-MAU-008,0,0,0,0,1,0,1,100,0,0,100
13-UOO-065,1,0,0,0,0,0,1,0,1,0,100
13-UOO-085,0,0,0,1,0,0,1,100,0,0,100
13/13,0,0,0,0,1,0,1,100,0,0,100
14.641.31.0003,0,0,0,0,0,1,1,100,0,0,100
14/S/819,0,1,0,0,0,0,1,100,0,0,100
142-451-2094,0,1,0,0,0,0,1,100,0,0,100
1459156,0,0,0,0,0,1,1,100,0,0,100
15-UOO-092,0,0,0,0,0,1,1,100,0,0,100
15/403,1,1,0,0,0,0,2,50,0,1,100
"15/JTA, FS/14/78/31020",0,0,0,0,0,1,1,100,0,0,100
1503083,0,0,0,1,0,0,1,100,0,0,100
1504137,0,0,0,0,0,1,1,100,0,0,100
1559,0,1,0,0,0,0,1,100,0,0,100
16-UOO-072,0,1,0,0,0,0,1,100,0,0,100
16-UOO-1602,0,1,0,0,0,0,1,100,0,0,100
16-UOO-185,0,0,0,0,0,1,1,100,0,0,100
"16.16, 17.16",1,0,0,0,0,0,1,0,1,0,100
16/727,1,1,0,0,0,0,2,50,1,0,100
16/U735,1,0,0,0,0,0,1,0,1,0,100
1600,0,1,0,0,0,0,1,100,0,0,100
"16084, SOW12-GPLER-OU-SM",0,0,0,0,1,0,1,100,0,0,100
1683,0,1,0,0,0,0,1,100,0,0,100
"1683, 1766",1,0,0,1,0,0,2,50,1,0,100
"1691,",0,0,0,0,0,1,1,100,0,0,100
"1691, 1810",0,0,0,0,1,0,1,100,0,0,100
16‐UOO‐1602,0,0,0,0,1,0,1,100,0,0,100
17-013,0,1,0,0,0,0,1,100,0,0,100
17-064,0,0,0,0,0,1,1,100,0,0,100
17-UOO-173,1,0,0,0,0,0,1,0,1,0,100
17/013,0,1,0,0,0,0,1,100,0,0,100
17/649,1,0,0,0,0,0,1,0,0,0,0
17100218,1,3,0,0,0,0,4,75,1,0,100
17118519,1,2,0,0,0,0,3,66,0,0,66
1745,0,1,0,0,0,0,1,100,0,0,100
1766,0,1,0,0,0,0,1,100,0,0,100
179011,0,1,0,0,0,0,1,100,0,0,100
17XGL012,1,0,0,0,0,0,1,0,1,0,100
17‐UOO‐222,1,0,0,0,0,0,1,0,0,0,0
18-UOO-011-CSG,2,1,0,0,0,0,3,33,2,0,100
18-UOO-123,0,0,0,0,0,1,1,100,0,0,100
18-UOO-188,0,1,0,0,0,0,1,100,0,0,100
18/079,1,0,0,0,0,0,1,0,1,0,100
18/644,0,0,0,0,0,1,1,100,0,0,100
18/804,0,1,0,0,0,0,1,100,0,0,100
1808085QH247,0,0,0,0,0,1,1,100,0,0,100
185,1,0,0,0,1,0,2,50,1,0,100
19.11,0,1,0,0,0,0,1,100,0,0,100
19/173,0,1,0,0,0,0,1,100,0,0,100
1953-2019,1,0,0,0,0,0,1,0,1,0,100
1E1CMS331080,0,0,0,0,1,0,1,100,0,0,100
"1K01MH105320, 1R01HD084233, T32 HD007168",0,0,0,0,1,0,1,100,0,0,100
20/1066,0,0,0,1,0,0,1,100,0,0,100
200205/Z/15/Z,0,0,0,0,1,0,1,100,0,0,100
"201010027251, 80740-2019",1,0,0,0,0,0,1,0,1,0,100
2013,1,0,0,0,0,0,1,0,1,0,100
2013/09/B/ NZ5/00770,0,0,0,1,0,0,1,100,0,0,100
2013K1A1A2A02078278,0,0,0,0,0,1,1,100,0,0,100
2015-MAU-PC-01,1,0,0,0,0,0,1,0,1,0,100
2016 PBRF,1,0,0,0,0,0,1,0,1,0,100
2016-557,0,0,0,1,0,0,1,100,0,0,100
201649,0,1,0,0,0,0,1,100,0,0,100
"201668, 305739",0,0,0,1,0,0,1,100,0,0,100
"2016GGX101001, 2017CXZC1206, 2018CXGC0706",1,0,0,0,0,0,1,0,1,0,100
2016LZXNYD-T04,0,1,0,0,0,0,1,100,0,0,100
2016YFB0501900,1,0,0,0,0,0,1,0,1,0,100
2017 University of Otago Research Grant,1,0,0,0,0,0,1,0,1,0,100
2017-18 NZ-China NCD Emerging Researcher Travel Fellowship,0,1,0,0,0,0,1,100,0,0,100
201711159193,1,1,0,0,0,0,2,50,1,0,100
2017SGR696,0,0,0,0,0,1,1,100,0,0,100
2017ZX 09304028-008,0,0,0,0,0,1,1,100,0,0,100
2018 Hawkes Bay Medical Research Foundation grant,1,0,0,0,0,0,1,0,0,0,0
2018 PBRF Research Enhancement Grant,0,1,0,0,0,0,1,100,0,0,100
