Repository,Items,Published Version,Accepted Version,Submitted Version,Null
DiVA.org,40,38,0,2,0
EVASTAR-Karlsruhe.de,3,3,0,0,0
HAL,37,19,0,18,0
RePEc,21,12,0,9,0
aber.ac.uk,2,1,0,1,0
academiccommons.columbia.edu,1,1,0,0,0
accedacris.ulpgc.es,1,0,0,1,0
addi.ehu.es,10,8,2,0,0
ageconsearch.umn.edu,2,2,0,0,0
agritrop.cirad.fr,1,1,0,0,0
air.unimi.it,5,5,0,0,0
arXiv.org,116,0,2,114,0
archimer.ifremer.fr,2,1,0,1,0
archive.lstmed.ac.uk,2,0,2,0,0
archive.ugent.be,11,11,0,0,0
arpi.unipi.it,1,0,0,1,0
arro.anglia.ac.uk,3,0,3,0,0
aura.abdn.ac.uk,13,9,0,4,0
authors.library.caltech.edu,9,0,9,0,0
bib-pubdb1.desy.de,1,1,0,0,0
boa.unimib.it,2,2,0,0,0
bora.uib.no,2,0,2,0,0
boris.unibe.ch,3,3,0,0,0
bradscholars.brad.ac.uk,5,1,4,0,0
brage.bibsys.no,1,1,0,0,0
brage.inn.no,1,1,0,0,0
cdm21054.contentdm.oclc.org,4,3,0,1,0
cds.cern.ch,1,0,0,1,0
cedar.wwu.edu,1,1,0,0,0
centaur.reading.ac.uk,2,0,2,0,0
circle.library.ubc.ca,1,1,0,0,0
clok.uclan.ac.uk,3,0,3,0,0
collected.jcu.edu,1,0,0,1,0
comum.rcaap.pt,2,2,0,0,0
cris.maastrichtuniversity.nl,3,1,0,2,0
cris.unibo.it,5,4,0,1,0
cronfa.swan.ac.uk,1,0,1,0,0
cupola.gettysburg.edu,1,1,0,0,0
dadun.unav.edu,1,0,0,1,0
darchive.mblwhoilibrary.org,5,3,0,2,0
dash.harvard.edu,1,0,1,0,0
dc.uwm.edu,1,1,0,0,0
ddd.uab.cat,2,2,0,0,0
deepblue.lib.umich.edu,2,2,0,0,0
depositonce.tu-berlin.de,1,1,0,0,0
dialnet.unirioja.es,2,1,0,1,0
digibug.ugr.es,3,3,0,0,0
digital.csic.es,10,6,0,4,0
digital.library.adelaide.edu.au,13,13,0,0,0
digitalcollections.dordt.edu,1,1,0,0,0
digitalcommons.chapman.edu,1,0,0,1,0
digitalcommons.odu.edu,1,1,0,0,0
digitalcommons.unl.edu,2,1,0,1,0
digitalcommons.uri.edu,1,1,0,0,0
digitalcommons.usu.edu,1,0,0,1,0
digitalcommons.wustl.edu,2,2,0,0,0
digitalscholarship.unlv.edu,2,2,0,0,0
diposit.ub.edu,7,7,0,0,0
dipot.ulb.ac.be,11,8,0,3,0
discovery.dundee.ac.uk,9,6,1,2,0
dora,9,3,1,0,0
dora.dmu.ac.uk,5,0,0,5,0
dovepress.com,1,1,0,0,0
dro.deakin.edu.au,5,5,0,0,0
dro.dur.ac.uk.OAI2,7,0,7,0,0
dspace.flinders.edu.au,1,1,0,0,0
dspace.lboro.ac.uk,1,0,0,1,0
dspace.library.uu.nl,1,1,0,0,0
dspace.nwu.ac.za,1,0,0,1,0
dspace.stir.ac.uk,12,7,3,2,0
dspace.ucuenca.edu.ec,2,2,0,0,0
e-docs.geo-leo.de,1,1,0,0,0
e-space.mmu.ac.uk,1,0,1,0,0
ecommons.aku.edu,3,3,0,0,0
ecommons.luc.edu,1,1,0,0,0
edit.elte.hu,1,0,0,1,0
edoc.unibas.ch,1,0,1,0,0
elar.urfu.ru,1,1,0,0,0
epic.awi.de,2,2,0,0,0
eprint.ncl.ac.uk,3,2,0,1,0
eprints.bournemouth.ac.uk,6,0,6,0,0
eprints.bpums.ac.ir,1,0,1,0,0
eprints.gla.ac.uk,49,0,49,0,0
eprints.keele.ac.uk,6,0,6,0,0
eprints.kingston.ac.uk,1,1,0,0,0
eprints.lancs.ac.uk,5,0,5,0,0
eprints.leedsbeckett.ac.uk,1,0,1,0,0
eprints.lib.hokudai.ac.jp,1,0,1,0,0
eprints.lincoln.ac.uk,3,0,3,0,0
eprints.lse.ac.uk,1,0,1,0,0
eprints.mdx.ac.uk,4,0,3,1,0
eprints.qut.edu.au,12,5,0,7,0
eprints.soton.ac.uk,13,0,13,0,0
eprints.ucl.ac.uk.OAI2,31,20,0,11,0
eprints.usq.edu.au,2,0,2,0,0
eprints.utas.edu.au,13,0,13,0,0
eprints.vu.edu.au,1,0,1,0,0
eprints.whiterose.ac.uk,33,13,17,3,0
epub.ub.uni-muenchen.de,1,1,0,0,0
epub.uni-regensburg.de,1,1,0,0,0
epublications.marquette.edu,2,0,0,2,0
epubs.surrey.ac.uk,3,1,1,1,0
escholarship.org,19,16,0,3,0
escholarship.umassmed.edu,1,1,0,0,0
espace.curtin.edu.au,9,7,1,1,0
espace.library.uq.edu.au,3,3,0,0,0
estudogeral.sib.uc.pt,1,0,0,1,0
etheses.dur.ac.uk,1,0,0,1,0
europepmc.org,888,858,30,0,0
figshare.com,17,8,0,9,0
flore.unifi.it,4,3,0,1,0
frl.publisso.de,11,9,2,0,0
gala.gre.ac.uk,2,0,2,0,0
gesis.izsoz.de,2,2,0,0,0
gfzpublic.gfz-potsdam.de,4,1,0,3,0
gupea.ub.gu.se,1,0,0,1,0
helda.helsinki.fi,28,26,1,1,0
hindawi.com,18,18,0,0,0
http,12,0,9,0,0
https,3,2,1,0,0
hub.hku.hk,1,0,0,1,0
hull-repository.worktribe.com,7,6,1,0,0
hvlopen.brage.unit.no,1,0,0,1,0
hzi.openrepository.com,1,0,0,1,0
idus.us.es,1,1,0,0,0
imis.nioz.nl,2,2,0,0,0
imr.brage.unit.no,1,1,0,0,0
ink.library.smu.edu.sg,2,0,2,0,0
ir.canterbury.ac.nz,9,4,0,5,0
ir.unimas.my,1,0,1,0,0
irep.ntu.ac.uk,4,0,4,0,0
iris.unife.it,3,1,1,1,0
iris.unige.it,5,5,0,0,0
iris.unipa.it,2,2,0,0,0
iris.uniroma1.it,9,7,0,2,0
iris.unitn.it,1,1,0,0,0
iris.unito.it,5,3,0,2,0
jupiter.its.unimelb.edu.au,85,74,1,10,0
jyx.jyu.fi,4,3,1,0,0
kar.kent.ac.uk,3,0,3,0,0
kops.uni-konstanz.de,3,2,0,1,0
kuscholarworks.ku.edu,2,2,0,0,0
lib.dr.iastate.edu,1,1,0,0,0
library.wur.nl,5,4,0,1,0
libtstbura1.brunel.ac.uk,1,1,0,0,0
lirias2repo.kuleuven.be,15,8,0,7,0
localhost,1,0,1,0,0
lra.le.ac.uk,3,3,0,0,0
lup.lub.lu.se,2,0,0,2,0
macau.uni-kiel.de,1,1,0,0,0
mdpi.com,9,9,0,0,0
mediatum.ub.tum.de,4,4,0,0,0
munin.uit.no,5,3,2,0,0
napier-surface.worktribe.com,1,1,0,0,0
nih.brage.unit.no,1,1,0,0,0
nofima.brage.unit.no,1,0,0,1,0
nora.nerc.ac.uk,27,0,27,0,0
nottingham-repository.worktribe.com,11,4,6,1,0
nrl.northumbria.ac.uk,5,0,5,0,0
ntnuopen.ntnu.no,7,4,0,3,0
oatao.univ-toulouse.fr,1,0,1,0,0
oceanrep.geomar.de,6,0,6,0,0
oda.hioa.no,2,2,0,0,0
oma.vliz.be,1,1,0,0,0
omsorgsforskning.brage.unit.no,1,1,0,0,0
open.bu.edu,1,0,1,0,0
open.metu.edu.tr,1,1,0,0,0
openaccess.city.ac.uk,3,0,3,0,0
openaccess.leidenuniv.nl,1,1,0,0,0
openaccess.nhh.no,1,1,0,0,0
openaccess.sgul.ac.uk,9,0,9,0,0
openrepository.aut.ac.nz,16,14,0,2,0
openresearch-repository.anu.edu.au,21,14,0,7,0
openresearch.lsbu.ac.uk,5,0,5,0,0
opinvisindi.is,9,7,1,1,0
opus.lib.uts.edu.au,15,8,1,6,0
ora.ox.ac.uk,46,25,1,20,0
orbi.ulg.ac.be,2,1,0,1,0
ore.exeter.ac.uk,6,6,0,0,0
orgprints.org,1,1,0,0,0
oro.open.ac.uk,2,0,2,0,0
oskar-bordeaux.fr,1,1,0,0,0
osti.gov,8,0,0,8,0
oulu.fi,7,5,0,2,0
ourarchive.otago.ac.nz,43,21,3,19,0
pdxscholar.library.pdx.edu,1,1,0,0,0
pearl.plymouth.ac.uk,7,1,0,6,0
philarchive.org,1,1,0,0,0
philpapers.org,1,0,0,1,0
plymsea.ac.uk,3,0,3,0,0
prism.ucalgary.ca,1,1,0,0,0
psasir.upm.edu.my,2,0,2,0,0
publications.aston.ac.uk,1,0,1,0,0
pure.atira.dk,84,44,9,31,0
pure.ed.ac.uk,45,33,3,9,0
pure.iiasa.ac.at,1,0,1,0,0
pure.knaw.nl,1,1,0,0,0
pure.leuphana.de,1,0,0,1,0
pure.mpg.de,16,13,0,3,0
pure.qub.ac.uk,6,4,1,1,0
pure.rug.nl,28,25,1,2,0
qmro.qmul.ac.uk,4,3,0,1,0
qspace.qu.edu.qa,1,1,0,0,0
r-libre.teluq.ca,1,0,1,0,0
rabida.uhu.es,1,0,0,1,0
rde.dspace-express.com,4,2,2,0,0
rdw.rowan.edu,1,1,0,0,0
real.mtak.hu,2,0,2,0,0
recercat.cat,1,1,0,0,0
repo.uum.edu.my,1,0,1,0,0
repositori.irta.cat,2,2,0,0,0
repositori.udl.cat,3,2,0,1,0
repositori.upf.edu,5,2,3,0,0
repositorio.cuc.edu.co,5,4,0,1,0
repositorio.ispa.pt,1,1,0,0,0
repositorio.uam.es,2,2,0,0,0
repository.arizona.edu,3,2,1,0,0
repository.bilkent.edu.tr,1,1,0,0,0
repository.cardiffmet.ac.uk,1,0,1,0,0
repository.essex.ac.uk,2,0,2,0,0
repository.kaust.edu.sa,3,3,0,0,0
repository.nwu.ac.za,3,2,0,1,0
repository.urosario.edu.co,1,1,0,0,0
repository.uwc.ac.za,1,1,0,0,0
repub.eur.nl,8,7,0,1,0
research-information.bris.ac.uk,21,15,0,6,0
research-repository.griffith.edu.au,24,19,2,3,0
research-repository.st-andrews.ac.uk,12,10,2,0,0
research.bangor.ac.uk,3,2,0,1,0
research.usc.edu.au,1,1,0,0,0
research.vu.nl,3,2,0,1,0
researcharchive.lincoln.ac.nz,10,8,0,2,0
researchbank.acu.edu.au,1,1,0,0,0
researchcommons.waikato.ac.nz,12,7,4,1,0
researchonline.gcu.ac.uk,6,5,1,0,0
researchonline.jcu.edu.au,15,0,15,0,0
researchonline.ljmu.ac.uk,6,0,6,0,0
researchonline.lshtm.ac.uk,31,13,16,2,0
researchonline.nd.edu.au,2,0,0,2,0
researchonline.rvc.ac.uk,2,0,2,0,0
researchportal.port.ac.uk,2,1,0,1,0
researchrepository.murdoch.edu.au,5,4,0,1,0
rgu-repository.worktribe.com,4,4,0,0,0
ri.conicet.gov.ar,4,4,0,0,0
ricerca.uniba.it,2,2,0,0,0
ro.ecu.edu.au,7,5,1,1,0
ro.uow.edu.au,4,3,0,1,0
roderic.uv.es,1,1,0,0,0
rua.ua.es,1,0,0,1,0
ruc.udc.es,1,0,0,1,0
ruj.uj.edu.pl,2,2,0,0,0
scholarcommons.usf.edu,2,1,0,1,0
scholarworks.iupui.edu,1,1,0,0,0
scholarworks.law.ubalt.edu,1,1,0,0,0
scholarworks.unist.ac.kr,1,1,0,0,0
sdu.dk,12,11,0,1,0
sedici.unlp.edu.ar,1,1,0,0,0
semanticscholar.org,137,0,0,137,0
serval.unil.ch,4,3,0,1,0
ses.library.usyd.edu.au,4,3,0,1,0
share.osf.io,8,1,0,7,0
shareok.org,1,1,0,0,0
shura.shu.ac.uk,7,0,7,0,0
spiral.imperial.ac.uk,17,14,0,3,0
sro.sussex.ac.uk,3,0,3,0,0
strathprints.strath.ac.uk,4,0,4,0,0
t-stor.teagasc.ie,2,0,1,1,0
tara.tcd.ie,1,1,0,0,0
tilburguniversity.edu,3,2,1,0,0
trepo.tuni.fi,9,7,2,0,0
tudelft.nl,4,4,0,0,0
ueaeprints.uea.ac.uk,11,0,11,0,0
uis.brage.unit.no,1,1,0,0,0
uknowledge.uky.edu,1,1,0,0,0
ulir.ul.ie,10,9,0,1,0
uni-augsburg.opus-bayern.de,2,2,0,0,0
unige.ch,5,5,0,0,0
upcommons.upc.edu,2,2,0,0,0
urm_publish,12,0,12,0,0
usiena-air.unisi.it,1,0,0,1,0
vet-erinar.vet.bg.ac.rs,1,1,0,0,0
vtechworks.lib.vt.edu,2,2,0,0,0
westminsterresearch.westminster.ac.uk,1,0,1,0,0
wrap.warwick.ac.uk,8,6,2,0,0
www.duo.uio.no,16,10,5,1,0
www.lenus.ie,1,1,0,0,0
www.lume.ufrgs.br,2,2,0,0,0
www.open-access.bcu.ac.uk,1,0,1,0,0
www.repository.cam.ac.uk,19,11,0,8,0
www.research-collection.ethz.ch,8,6,1,1,0
www.research.unipd.it,1,1,0,0,0
www.zora.uzh.ch,19,0,19,0,0
yorkspace.library.yorku.ca,1,1,0,0,0
zaguan.unizar.es,2,2,0,0,0
zenodo.org,19,12,0,7,0
