WoS Subject,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
Acoustics,4,0,0,0,0,0,4,0,4,0,100
Agriculture,17,4,1,1,8,3,34,50,10,2,85
Allergy,6,0,0,0,0,0,6,0,6,0,100
Anatomy & Morphology,16,0,0,3,1,1,21,23,16,0,100
Anesthesiology,10,0,0,3,0,4,17,41,5,1,76
Anthropology,8,0,0,1,6,3,18,55,5,3,100
Archaeology,16,0,0,0,3,2,21,23,13,3,100
Architecture,1,0,0,0,0,0,1,0,1,0,100
Area Studies,9,0,1,0,1,1,12,25,7,2,100
Art,1,0,0,0,0,0,1,0,1,0,100
Arts & Humanities - Other Topics,9,0,0,1,0,5,15,40,7,1,93
Astronomy & Astrophysics,0,1,0,5,17,14,37,100,0,0,100
Audiology & Speech-Language Pathology,4,0,0,0,0,0,4,0,4,0,100
Automation & Control Systems,1,1,0,0,0,0,2,50,1,0,100
Behavioral Sciences,27,3,0,2,5,0,37,27,21,6,100
Biochemistry & Molecular Biology,74,39,1,19,10,23,166,55,63,1,93
Biodiversity & Conservation,25,7,0,1,4,3,40,37,23,2,100
Biomedical Social Sciences,25,1,0,9,2,4,41,39,14,10,97
Biophysics,8,1,0,5,1,1,16,50,8,0,100
Biotechnology & Applied Microbiology,15,13,1,4,5,7,45,66,13,0,95
Business & Economics,151,3,1,3,43,4,205,26,111,37,98
Cardiovascular System & Cardiology,39,15,0,32,7,28,121,67,27,9,97
Cell Biology,35,22,0,14,7,5,83,57,29,2,95
Chemistry,115,44,5,1,13,11,189,39,76,2,80
Classics,1,1,0,0,0,0,2,50,1,0,100
Communication,9,0,4,0,0,0,13,30,1,4,69
Computer Science,56,6,1,4,13,4,84,33,32,6,78
Construction & Building Technology,2,0,0,0,1,0,3,33,2,0,100
Criminology & Penology,15,0,0,0,1,0,16,6,8,5,87
Crystallography,2,2,0,0,1,0,5,60,0,0,60
Cultural Studies,7,0,0,0,1,0,8,12,2,1,50
Dance,1,0,0,0,0,0,1,0,1,0,100
Demography,3,0,0,0,1,0,4,25,3,0,100
"Dentistry, Oral Surgery & Medicine",86,16,7,4,15,4,132,34,74,5,94
Dermatology,3,2,0,1,0,0,6,50,2,1,100
Development Studies,4,0,0,0,2,1,7,42,4,0,100
Developmental Biology,5,5,0,3,2,1,16,68,3,1,93
Education & Educational Research,100,12,2,13,12,3,142,29,86,7,95
Electrochemistry,3,0,0,0,0,0,3,0,3,0,100
Emergency Medicine,5,0,0,1,0,0,6,16,5,0,100
Endocrinology & Metabolism,52,9,0,20,15,6,102,49,45,3,96
Energy & Fuels,12,1,0,0,1,2,16,25,12,0,100
Engineering,64,16,0,2,12,3,97,34,52,8,95
Entomology,11,3,0,3,2,2,21,47,11,0,100
Environmental Sciences & Ecology,143,88,2,19,23,17,292,51,131,8,98
Ethnic Studies,3,0,0,0,0,0,3,0,2,0,66
Evolutionary Biology,29,14,0,11,6,8,68,57,25,2,97
Family Studies,17,0,0,0,2,0,19,10,10,7,100
Fisheries,34,0,1,4,0,3,42,19,27,7,100
Food Science & Technology,78,28,2,4,6,3,121,35,74,0,96
Forestry,2,1,0,0,0,0,3,33,1,1,100
Gastroenterology & Hepatology,10,7,0,2,3,2,24,58,10,0,100
General & Internal Medicine,43,82,31,16,10,10,192,77,28,7,95
Genetics & Heredity,30,35,1,6,12,18,102,70,26,1,97
Geochemistry & Geophysics,34,6,0,6,12,13,71,52,30,2,97
Geography,26,0,1,1,3,5,36,27,25,1,100
Geology,69,23,4,1,12,9,118,41,58,5,94
Geriatrics & Gerontology,33,4,1,2,10,6,56,41,30,3,100
Government & Law,20,0,1,1,3,0,25,20,14,4,92
Health Care Sciences & Services,67,33,2,11,10,1,124,45,52,12,97
Hematology,10,0,0,5,1,2,18,44,9,0,94
History,13,0,0,1,0,1,15,13,8,4,93
History & Philosophy of Science,6,0,0,1,0,0,7,14,5,1,100
Imaging Science & Photographic Technology,4,0,0,0,2,0,6,33,1,0,50
Immunology,27,13,2,12,7,15,76,64,23,0,94
Infectious Diseases,20,12,3,6,7,19,67,70,11,1,88
Information Science & Library Science,3,0,0,0,2,0,5,40,1,1,80
