DOI,Evidence,Licence,OA Status,Title,Authors,Author count,Author count>20,WoS/Scopus Authors,Local author count from WoS/Scopus,Local authors,Corresponding author,Local reprint authors,Corresponding author is local,Journal,Year,Publisher,Is OA,Genre,OA Journal,Version,Host of best version,Green version available,Repositories,Number of repositories,In local repository,In DOAJ,ISSNs,Archive accepted manuscript,Embargo,Archive published version,Published version embargo,Sherpa/Romeo Link,Scopus citations,Crossref citations,Free text url,In WoS,In Scopus,APC charged in DOAJ,DOAJ Currency,DOAJ APC,Publisher Currency,Publisher APC,USD APC,Altmetric,Media stories,Policy documents,Tweets,Altmetric link,Funders,Crossref funders,WoS Subjects,Crossref subjects
10.1016/j.ijbiomac.2020.09.133,,,closed,The adaptive immune response to porous regenerated keratin as a bone graft substitute in an ovine model,"Dias, George J.; Ramesh, Niranjan; Neilson, Laura; Cornwall, Jon; Kelly, Robert J.; Anderson, Greg M.",6,No," Dias, G.J., Department of Anatomy, School of Biomedical Sciences, University of Otago, Dunedin, 9054, New Zealand; Ramesh, N., Department of Anatomy, School of Biomedical Sciences, University of Otago, Dunedin, 9054, New Zealand; Neilson, L., Department of Anatomy, School of Biomedical Sciences, University of Otago, Dunedin, 9054, New Zealand; Cornwall, J., Centre for Early Learning in Medicine, Otago Medical School, University of Otago, Dunedin, 9054, New Zealand; Kelly, R.J., Lincoln Agritech Ltd., Lincoln, Christchurch, 7640, New Zealand; Anderson, G., Department of Anatomy, School of Biomedical Sciences, University of Otago, Dunedin, 9054, New Zealand",1,"Kelly, R.J.","Dias, G.J.; Department of Anatomy, Lindo Ferguson Building (2nd Floor), 270 Great King Street, New Zealand; email: george.dias@otago.ac.nz",,No,International Journal of Biological Macromolecules,2020,Elsevier BV,false,journal-article,false,,,No,,0,No,false,0141-8130 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/12553,2,2,,No,Yes,,,,USD,3000,3000,0,0,0,0,,,,,Biochemistry; Molecular Biology; Structural Biology; General Medicine
10.1016/j.ijbiomac.2020.09.189,,,closed,Thermal and pasting properties and digestibility of blends of potato and rice starches differing in amylose content,"Ma, Mengting; Liu, Yi; Chen, Xiaojing; Brennan, Charles; Xu, Xianming; Sui, Zhongquan; Corke, Harold",7,No,"[Ma, Mengting; Liu, Yi; Chen, Xiaojing; Sui, Zhongquan] Shanghai Jiao Tong Univ, Sch Agr & Biol, Dept Food Sci & Technol, Shanghai 200240, Peoples R China; [Brennan, Charles] Lincoln Univ, Fac Agr & Life Sci, Dept Wine Food & Mol Biosci, Christchurch 7647, New Zealand; [Xu, Xianming] Shanghai Jiao Tong Univ, Shanghai Gen Hosp, Dept Obstet & Gynecol, Sch Med, 100 Haining Rd, Shanghai 200080, Peoples R China; [Corke, Harold] Guangdong Technion Israel Inst Technol, Biotechnol & Food Engn Program, Shantou 515063, Guangdong, Peoples R China; [Corke, Harold] Technion Israel Inst Technol, Fac Biotechnol & Food Engn, Haifa, Israel Ma, M., Department of Food Science & Technology, School of Agriculture and Biology, Shanghai Jiao Tong University, Shanghai, 200240, China; Liu, Y., Department of Food Science & Technology, School of Agriculture and Biology, Shanghai Jiao Tong University, Shanghai, 200240, China; Chen, X., Department of Food Science & Technology, School of Agriculture and Biology, Shanghai Jiao Tong University, Shanghai, 200240, China; Brennan, C., Department of Wine, Food and Molecular Biosciences, Faculty of Agriculture and Life Sciences, Lincoln University, Lincoln, Christchurch, 7647, New Zealand; Xu, X., Department of Obstetrics and Gynecology, Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine, No. 100, Haining Road, Shanghai, 200080, China; Sui, Z., Department of Food Science & Technology, School of Agriculture and Biology, Shanghai Jiao Tong University, Shanghai, 200240, China; Corke, H., Biotechnology and Food Engineering Program, Guangdong Technion – Israel Institute of Technology, Shantou, Guangdong  515063, China, Faculty of Biotechnology and Food Engineering, Technion – Israel Institute of Technology, Haifa, Israel",1,"Ma, Mengting, Liu, Yi, Chen, Xiaojing, Sui, Zhongquan, Brennan, Charles","Sui, ZQ (corresponding author), Shanghai Jiao Tong Univ, Sch Agr & Biol, Dept Food Sci & Technol, Shanghai 200240, Peoples R China.; Xu, XM (corresponding author), Shanghai Jiao Tong Univ, Shanghai Gen Hosp, Dept Obstet & Gynecol, Sch Med, 100 Haining Rd, Shanghai 200080, Peoples R China.",,No,International Journal of Biological Macromolecules,2020,Elsevier BV,false,journal-article,false,,,No,,0,No,false,0141-8130 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/12553,1,0,,Yes,Yes,,,,USD,3000,3000,0,0,0,0,,"National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [31671893, 81402366, 81773064]; National Key Research and Development Program of China [2016YFD0400206]; Shanghai Committee of Science and TechnologyShanghai Science & Technology Committee [19390743700, 18490741300, 18391900600]; National Natural Science Foundation of China, NSFC: 31671893, 81402366, 81773064; Science and Technology Commission of Shanghai Municipality, STCSM: 18391900600, 18490741300, 19390743700; National Key Research and Development Program of China, NKRDPC: 2016YFD0400206",National Natural Science Foundation of China; National Key Research and Development Program of China; Shanghai Committee of Science and Technology,Biochemistry & Molecular Biology; Chemistry; Polymer Science,Biochemistry; Molecular Biology; Structural Biology; General Medicine
10.1016/j.scitotenv.2020.141220,,,closed,Eigenmodels to forecast groundwater levels in unconfined river-fed aquifers during flow recession,"Wöhling, Thomas; Burbery, Lee",2,No," Wöhling, T., Lincoln Agritech Ltd., Ruakura Research Centre, Hamilton, 3240, New Zealand, Technische Universität Dresden, Chair of Hydrology, Dresden, 01069, Germany; Burbery, L., Institute of Environmental Science and Research Ltd. (ESR), Christchurch Science Centre, 27 Creyke Road, Christchurch, 8041, New Zealand",1,"Wöhling, T.","Wöhling, T.; Lincoln Agritech Ltd., New Zealand; email: thomas.woehling@tu-dresden.de","Wöhling, T.",Yes,Science of The Total Environment,2020,Elsevier BV,false,journal-article,false,,,No,,0,No,false,0048-9697 ,Yes,24 months,No,,https://v2.sherpa.ac.uk/id/publication/15487,1,2,,No,Yes,,,,USD,3400,3400,2,0,0,2,http://www.altmetric.com/details.php?citation_id=88733103,"Lincoln Agritech; Technische Universität Dresden, TUD; Ministry of Business, Innovation and Employment, MBIE; Ministry for Business Innovation and Employment, MBIE: 1964-MLDC149","Ministry of Business, Innovation and Employment; Technische Universität Dresden",,Environmental Engineering; Waste Management and Disposal; Pollution; Environmental Chemistry
10.3389/fsufs.2020.606828,oa journal (via doaj),cc-by,gold,Production of Microsclerotia From Entomopathogenic Fungi and Use in Maize Seed Coating as Delivery for Biocontrol Against Fusarium graminearum,"Rivas-Franco, Federico; Hampton, John G.; Altier, Nora A.; Swaminathan, Jayanthi; Rostás, Michael; Wessman, Per; Saville, David J.; Jackson, Trevor A.; Jackson, Mark A.; Glare, Travis R.",10,No,"[Rivas-Franco, Federico; Hampton, John G.; Rostas, Michael; Glare, Travis R.] Lincoln Univ, Bioprotect Res Ctr, Lincoln, New Zealand; [Rivas-Franco, Federico; Altier, Nora A.] INIA Las Brujas, Inst Nacl Invest Agr INIA, Plataforma Bioinsumos, Programa Prod & Sustentabilidad Ambiental, Canelones, Uruguay; [Swaminathan, Jayanthi] Lincoln Univ, Fac Agr & Life Sci, Lincoln, New Zealand; [Wessman, Per] Res Inst Sweden RISE, Dept Chem Proc & Pharmaceut Dev, Unit Formulat, Boras, Sweden; [Saville, David J.] Saville Stat Consulting Ltd, Lincoln, New Zealand; [Jackson, Trevor A.] AgResearch, Lincoln Res Ctr, Lincoln, New Zealand; [Jackson, Mark A.] USDA, Natl Ctr Agr Utilizat, Peoria, IL USA Rivas-Franco, F., Bio-Protection Research Center, Lincoln University, Lincoln, New Zealand, Plataforma de Bioinsumos, Programa de Producción y Sustentabilidad Ambiental, Instituto Nacional de Investigación Agropecuaria (INIA), INIA - Las Brujas, Canelones, Uruguay; Hampton, J.G., Bio-Protection Research Center, Lincoln University, Lincoln, New Zealand; Altier, N.A., Plataforma de Bioinsumos, Programa de Producción y Sustentabilidad Ambiental, Instituto Nacional de Investigación Agropecuaria (INIA), INIA - Las Brujas, Canelones, Uruguay; Swaminathan, J., Faculty of Agriculture and Life Sciences, Lincoln University, Lincoln, New Zealand; Rostás, M., Bio-Protection Research Center, Lincoln University, Lincoln, New Zealand; Wessman, P., Department Chemical Process and Pharmaceutical Development, Unit Formulation, Research Institute of Sweden (RISE), Borås, Sweden; Saville, D.J., Saville Statistical Consulting Limited, Lincoln, New Zealand; Jackson, T.A., AgResearch, Lincoln Research Center, Lincoln, New Zealand; Jackson, M.A., Department of Agriculture (USDA), National Center for Agricultural Utilization, Peoria, IL, United States; Glare, T.R., Bio-Protection Research Center, Lincoln University, Lincoln, New Zealand",1,"Rivas-Franco, Federico, Hampton, John G., Rostas, Michael, Glare, Travis R., Altier, Nora A., Swaminathan, Jayanthi","Rivas-Franco, F (corresponding author), Lincoln Univ, Bioprotect Res Ctr, Lincoln, New Zealand.; Rivas-Franco, F (corresponding author), INIA Las Brujas, Inst Nacl Invest Agr INIA, Plataforma Bioinsumos, Programa Prod & Sustentabilidad Ambiental, Canelones, Uruguay.","Rivas-Franco, F",Yes,Frontiers in Sustainable Food Systems,2020,Frontiers Media SA,true,journal-article,true,publishedVersion,publisher,Yes,researcharchive.lincoln.ac.nz ,1,Yes,TRUE,2571-581X ,Yes,None,Yes,None,https://v2.sherpa.ac.uk/id/publication/36370,,0,https://www.frontiersin.org/articles/10.3389/fsufs.2020.606828/pdf,Yes,Yes,Yes,USD,950,,,950,0.25,0,0,1,http://www.altmetric.com/details.php?citation_id=95831347,"Bio-Protection Research Center's Next Generation Biopesticide programme [CX10X1310]; Bio-Protection Research Center's Smarts Seeds Programme [LINX0702]; National Agency for Research and Innovation (ANNI-Uruguay) [POS_EXT_2014_1_105884]; LINX0702 NZ MBIE; Agencia Nacional de Investigación e Innovación, ANII: POS_EXT_2014_1_105884",,Food Science & Technology,
10.1109/APMC47863.2020.9331371,,,closed,Planar Lens Based on Dielectric Resonators and Printed Continuous Metal Strips,"Eccleston, Kimberley W.; Zhou, Yiwen; Platt, Ian G.; Tan, Adrian E.-C.; Woodhead, Ian M.",5,No," Eccleston, K.W., Lincoln Agritech Ltd, Christchurch, New Zealand; Zhou, Y., Lincoln Agritech Ltd, Christchurch, New Zealand; Platt, I.G., Lincoln Agritech Ltd, Christchurch, New Zealand; Tan, A.E.-C., Lincoln Agritech Ltd, Christchurch, New Zealand; Woodhead, I.M., Lincoln Agritech Ltd, Christchurch, New Zealand",5,"Eccleston, K.W.; Zhou, Y.; Platt, I.G.; Tan, A.E.-C.; Woodhead, I.M.",,,No,2020 IEEE Asia-Pacific Microwave Conference (APMC),2021,IEEE,false,proceedings-article,false,,,No,,0,No,false,,,,,,,,0,,No,Yes,,,,,,,0,0,0,0,,,,,
10.1016/j.compag.2020.105829,,,closed,Evaluating capacitive wetness sensors for measuring deposition in electrostatically charged spraying operations,"Longworth, Luke; Post, Scott; Jermy, Mark; Hendrickson, Hugh; Steel, Jamie; Cannon, Ethan; Gleadow, Jack; Brown, Simon",8,No,"[Longworth, Luke; Jermy, Mark; Hendrickson, Hugh; Steel, Jamie; Cannon, Ethan; Gleadow, Jack; Brown, Simon] Univ Canterbury, Private Bag 4800, Christchurch 8140, New Zealand; [Post, Scott] Lincoln Univ, Lincoln Agritech Ltd 2, Engn Dr, Lincoln 7674, New Zealand Longworth, L., University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Post, S., 2 Lincoln Agritech Limited, Lincoln University, Engineering Drive, Lincoln, 7674, New Zealand; Jermy, M., University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Hendrickson, H., University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Steel, J., University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Cannon, E., University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Gleadow, J., University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Brown, S., University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand",1,"Longworth, Luke, Jermy, Mark, Hendrickson, Hugh, Steel, Jamie, Cannon, Ethan, Gleadow, Jack, Brown, Simon, Post, Scott,","Jermy, M (corresponding author), Univ Canterbury, Private Bag 4800, Christchurch 8140, New Zealand.",,No,Computers and Electronics in Agriculture,2020,Elsevier BV,false,journal-article,false,,,No,,0,No,false,0168-1699 ,Yes,24 months,No,,https://v2.sherpa.ac.uk/id/publication/12506,,0,,Yes,Yes,,,,USD,2700,2700,0,0,0,0,,,,Agriculture; Computer Science,Agronomy and Crop Science; Forestry; Horticulture; Computer Science Applications
10.1186/s12859-020-03668-2,oa journal (via doaj),,gold,Novel domain expansion methods to improve the computational efficiency of the Chemical Master Equation solution for large biological networks,"Kosarwal, Rahul; Kulasiri, Don; Samarasinghe, Sandhya",3,No,"[Kosarwal, Rahul; Kulasiri, Don; Samarasinghe, Sandhya] Lincoln Univ, Ctr Adv Computat Solut C fACS, Christchurch, New Zealand; [Kosarwal, Rahul; Kulasiri, Don; Samarasinghe, Sandhya] Lincoln Univ, Complex Syst Big Data & Informat Initiat CSBII, Christchurch, New Zealand Kosarwal, R., Centre for Advanced Computational Solutions (C-fACS), Lincoln University, Lincoln, Christchurch, New Zealand, Complex Systems, Big Data, and Informatics Initiative (CSBII), Lincoln University, Lincoln, Christchurch, New Zealand; Kulasiri, D., Centre for Advanced Computational Solutions (C-fACS), Lincoln University, Lincoln, Christchurch, New Zealand, Complex Systems, Big Data, and Informatics Initiative (CSBII), Lincoln University, Lincoln, Christchurch, New Zealand; Samarasinghe, S., Centre for Advanced Computational Solutions (C-fACS), Lincoln University, Lincoln, Christchurch, New Zealand, Complex Systems, Big Data, and Informatics Initiative (CSBII), Lincoln University, Lincoln, Christchurch, New Zealand",1,"Kosarwal, Rahul, Kulasiri, Don, Samarasinghe, Sandhya,","Kulasiri, D (corresponding author), Lincoln Univ, Ctr Adv Computat Solut C fACS, Christchurch, New Zealand.; Kulasiri, D (corresponding author), Lincoln Univ, Complex Syst Big Data & Informat Initiat CSBII, Christchurch, New Zealand.","Kulasiri, D",Yes,BMC Bioinformatics,2020,Springer Science and Business Media LLC,true,journal-article,true,publishedVersion,publisher,Yes,researcharchive.lincoln.ac.nz ,1,Yes,TRUE,1471-2105 ,Yes,None,Yes,None,https://v2.sherpa.ac.uk/id/publication/2207,,0,https://doi.org/10.1186/s12859-020-03668-2,Yes,Yes,Yes,GBP,1370,USD,2145,2145,1,0,0,4,http://www.altmetric.com/details.php?citation_id=94135114,"AgLS Faculty, Lincoln University, New Zealand",,Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Mathematical & Computational Biology,Biochemistry; Applied Mathematics; Molecular Biology; Structural Biology; Computer Science Applications
10.1016/j.polar.2020.100590,embargoed (via journal policy),,closed,Person-environment fit: A cross-national and cross-temporal study of human adaptation to isolated and confined environments,"Jaksic, Cyril; Steel, Gary Daniel; Moore, Kevin; Stewart, Emma",4,No,"[Jaksic, Cyril; Steel, Gary Daniel; Moore, Kevin; Stewart, Emma] Lincoln Univ, Christchurch, New Zealand Jaksic, C., Lincoln University, New Zealand; Steel, G.D., Lincoln University, New Zealand; Moore, K., Lincoln University, New Zealand; Stewart, E., Lincoln University, New Zealand",1,"Jaksic, Cyril, Steel, Gary Daniel, Moore, Kevin, Stewart, Emma,","Steel, GD (corresponding author), Lincoln Univ, Fac Environm Soc & Design, Dept Tourism Sport & Soc, POB 85084, Christchurch 7647, New Zealand.","Steel, GD",Yes,Polar Science,2020,Elsevier BV,false,journal-article,false,publishedVersion,publisher,No,,0,No,false,1873-9652 ,Yes,24 months,No,,https://v2.sherpa.ac.uk/id/publication/16955,,0,https://doi.org/10.1016/j.polar.2020.100590,Yes,Yes,,,,USD,2500,2500,0,0,0,0,,"British Antarctic Survey, BAS",,Environmental Sciences & Ecology; Geology,Ecology; Aquatic Science; General Earth and Planetary Sciences; Ecology;  Evolution;  Behavior and Systematics
10.1007/s00477-020-01860-7,,,closed,Extension of Bayesian chemistry-assisted hydrograph separation to reveal water quality trends (BACH2),"Woodward, Simon J. R.; Stenger, Roland",2,No," Woodward, S.J.R., DairyNZ Ltd, Private Bag 3221, Hamilton, 3240, New Zealand, NIWA, P.O. Box 11115, Hamilton, 3251, New Zealand; Stenger, R., Lincoln Agritech Ltd, Private Bag 3062, Hamilton, 3240, New Zealand",1,"Stenger, R.","Woodward, S.J.R.; DairyNZ Ltd, Private Bag 3221, New Zealand; email: simon.woodward@niwa.co.nz",,No,Stochastic Environmental Research and Risk Assessment,2020,Springer Science and Business Media LLC,false,journal-article,false,,,No,,0,No,false,1436-3240 1436-3259 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/8238,,0,,No,Yes,,,,USD,3000,3000,0,0,0,0,,"DairyNZ; Ministry for Business Innovation and Employment, MBIE: LALX1802",,,Environmental Engineering; General Environmental Science; Safety;  Risk;  Reliability and Quality; Water Science and Technology; Environmental Chemistry
10.1002/arch.21754,,,closed,Mitochondrial evolution in the entomopathogenic fungal genusBeauveria,"Glare, Travis: Bio-Protection Research Centre Lincoln University Lincoln New Zealand; Campbell, Matt: School of Fundamental Sciences Massey University Palmerston North New Zealand; Biggs, Patrick: School of Fundamental Sciences Massey University Palmerston North New Zealand; Winter, David: School of Fundamental Sciences Massey University Palmerston North New Zealand; Durrant, Abigail: Bio-Protection Research Centre Lincoln University Lincoln New Zealand; McKinnon, Aimee: Bio-Protection Research Centre Lincoln University Lincoln New Zealand; Cox, Murray: School of Fundamental Sciences Massey University Palmerston North New Zealand",7,No,"[Glare, Travis; Durrant, Abigail; McKinnon, Aimee] Lincoln Univ, Bioprotect Res Ctr, POB 85084, Lincoln 7647, New Zealand; [Campbell, Matt; Biggs, Patrick; Winter, David; Cox, Murray] Massey Univ, Sch Fundamental Sci, Palmerston North, New Zealand Glare, T., Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand; Campbell, M., School of Fundamental Sciences, Massey University, Palmerston North, New Zealand; Biggs, P., School of Fundamental Sciences, Massey University, Palmerston North, New Zealand; Winter, D., School of Fundamental Sciences, Massey University, Palmerston North, New Zealand; Durrant, A., Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand; McKinnon, A., Bio-Protection Research Centre, Lincoln University, Lincoln, New Zealand; Cox, M., School of Fundamental Sciences, Massey University, Palmerston North, New Zealand",1,"Glare, Travis, Durrant, Abigail, McKinnon, Aimee","Glare, T (corresponding author), Lincoln Univ, Bioprotect Res Ctr, POB 85084, Lincoln 7647, New Zealand.","Glare, T",Yes,Archives of Insect Biochemistry and Physiology,2020,Wiley,false,journal-article,false,,,No,,0,No,false,0739-4462 1520-6327 ,Yes,12 months,No,,https://v2.sherpa.ac.uk/id/publication/13817,,0,,Yes,Yes,,,,USD,2500,2500,6.1,0,0,7,http://www.altmetric.com/details.php?citation_id=93562987,,,Biochemistry & Molecular Biology; Entomology; Physiology,Insect Science; Biochemistry; Physiology; General Medicine
