Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"2 Lincoln Agritech Limited, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"AERU, Lincoln University",2,1,0,0,0,1,0,2,1,50%,1,0,100%
"AGLS Faculty, Lincoln University",2,1,0,0,0,1,0,2,1,50%,1,0,100%
"AgResearch Limited, Hamilton, New Zealand, Lincoln University",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"AgResearch Lincoln Research Centre, Christchurch, PB 4749, New Zealand, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"AgResearch, Lincoln Research Centre, Christchurch, New Zealand, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"AgResearch, Lincoln Research Centre, Faculty of Agribusiness and Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"AgResearch, Lincoln Research Centre, Private Bag 4749, Christchurch, 8140, New Zealand, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"AgResearch, Lincoln Science Centre, Christchurch, New Zealand, Faculty of Agriculture and Life Sciences, Lincoln University",4,1,1,0,1,0,1,4,3,75%,1,0,100%
"AgResearch, Lincoln Science Centre, Christchurch, New Zealand, Soil and Physical Sciences, Faculty of Agriculture and Life Sciences, Lincoln University",2,0,0,0,0,2,0,2,2,100%,0,0,100%
"AgResearch, Lincoln Science Centre, Hamilton, New Zealand, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"AgResearch, Lincoln Science Centre, Lincoln, New Zealand, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"AgResearch, Lincoln Science Centre, Private Bag 4749, Christchurch, 8140, New Zealand, Faculty of Agriculture and Life Sciences, Lincoln University",3,2,0,0,0,0,1,3,1,33%,2,0,100%
"AgResearch, Lincoln Science Centre, Private Bag 4749, Christchurch, 8140, New Zealand, Faculty of Agriculture and Life Sciences, P O Box 84, Lincoln University",2,0,1,0,0,0,1,2,2,100%,0,0,100%
"AgResearch, Lincoln Science Centre, Private Bag 4749, Christchurch, 8140, New Zealand, Soil and Physical Sciences, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"AgResearch, Lincoln University",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"AgResearch, Ltd., Lincoln Research Centre, Proteins and Metabolites Team, Lincoln, New Zealand, Department of Wine, Food and Molecular Biosciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
