Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"'111' ProjectMinistry of Education, China - 111 Project",1,0,0,0,0,0,1,100,0,0,100
'Pastoral 21 programme' programme,1,0,0,0,0,0,1,100,0,0,100
"(Ministry of Business, Innovation and Employment)New Zealand Ministry of Business, Innovation and Employment (MBIE)",0,1,0,0,0,1,2,100,0,0,100
01-01-10-SF0235,0,1,0,0,0,0,1,100,0,0,100
01LC1501A-H,1,0,0,0,0,0,1,0,1,0,100
01LN1317A,0,0,0,0,1,0,1,100,0,0,100
0220/120033,0,1,0,0,0,0,1,100,0,0,100
"1000109, CXZZBS2017070",1,0,0,0,0,0,1,0,1,0,100
110728,0,1,0,0,0,0,1,100,0,0,100
"111 Project of ChinaMinistry of Education, China - 111 Project",1,0,0,0,0,0,1,0,1,0,100
"111 Project of the Ministry of EducationMinistry of Education, China - 111 Project",1,0,0,0,0,0,1,0,1,0,100
"111 ProjectMinistry of Education, China - 111 Project",14,3,0,1,0,0,18,22,14,0,100
"111 projectMinistry of Education, China - 111 Project",2,0,0,0,0,0,2,0,1,0,50
120247021,0,0,0,0,0,1,1,100,0,0,100
"1241932, 1638702, EVA4.0",0,0,0,0,0,1,1,100,0,0,100
13th Five-Year innovation team Study on new processing technology and related mechanisms of agricultural products storage and processing,0,1,0,0,0,0,1,100,0,0,100
14-LCR-001,0,1,0,0,0,0,1,100,0,0,100
150.5/PL1.R7/LT/2019,0,1,0,0,0,0,1,100,0,0,100
1501‐003,0,0,0,0,1,0,1,100,0,0,100
1518739,0,0,0,0,0,1,1,100,0,0,100
16/RC/3835,0,1,0,0,0,0,1,100,0,0,100
16084,0,1,0,0,0,0,1,100,0,0,100
1610242016046,2,0,0,0,0,0,2,0,2,0,100
16B122,1,0,0,0,0,0,1,0,1,0,100
"16JCQNJC14600, 16JCZDJC34000",0,1,0,0,0,0,1,100,0,0,100
"17962902D, 19224007D",1,0,0,0,0,0,1,0,1,0,100
18JR3RA190,0,0,0,0,1,0,1,100,0,0,100
18LU01,1,0,0,0,0,2,3,66,1,0,100
18RKX0751,1,1,0,0,0,0,2,50,0,1,100
19-28807X,0,1,0,0,0,0,1,100,0,0,100
19YFZCSN00010,1,0,0,0,0,0,1,0,1,0,100
19‐28807X,1,0,0,0,0,3,4,75,1,0,100
2011-51181-30937,1,0,0,0,0,0,1,0,1,0,100
2013AA100404,0,0,0,0,1,0,1,100,0,0,100
"2013B020203001, 2015A030312001",0,2,0,0,0,0,2,100,0,0,100
2013NYYZ0402,1,1,0,0,0,0,2,50,1,0,100
"2014050203, GDOU201305020 5",1,0,0,0,0,0,1,0,0,1,100
"2014050203, GDOU2013050205",1,0,0,0,0,0,1,0,1,0,100
2014B020204005,0,1,0,0,0,0,1,100,0,0,100
"2014B020204005, 2014B020205006",1,0,0,0,0,0,1,0,1,0,100
2015/08,0,1,0,0,0,0,1,100,0,0,100
2015A020209192,0,1,0,0,0,0,1,100,0,0,100
2015A030310198,0,1,0,0,0,0,1,100,0,0,100
"2015A030312001, 2017B020207001",5,0,0,0,0,0,5,0,5,0,100
2015BAD23B00,1,0,0,0,0,0,1,0,1,0,100
2016-67019-25279,1,0,0,0,0,0,1,0,1,0,100
"2016A020210008, 2017B020207001, 2017YFD0400502",1,0,0,0,0,0,1,0,1,0,100
2016BC001,0,1,0,0,0,0,1,100,0,0,100
2016KTZDNY‐01‐03,1,0,0,0,0,0,1,0,1,0,100
2016YFD0400206,1,0,0,0,0,0,1,0,1,0,100
"2016YFD0400705-04, 2017YFD0400903-01",1,0,0,0,0,0,1,0,1,0,100
2016slkj-17,1,0,0,0,0,0,1,0,1,0,100
"2017 Early Career Researcher Grant Scheme from the University of Melbourne, Australia",0,1,0,0,0,0,1,100,0,0,100
"2017-2018 Belmont Forum and joint call for research proposals, under the BiodivScen ERA-Net COFUND programme",0,0,0,0,0,1,1,100,0,0,100
201704030084,1,0,0,0,0,0,1,0,1,0,100
201704030096,1,0,0,0,0,0,1,0,0,0,0
201710069071,0,1,0,0,0,0,1,100,0,0,100
2017A-029,0,1,0,0,0,0,1,100,0,0,100
