WoS Subject,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
Agriculture,172,34,3,9,9,18,245,29,137,27,96
Architecture,3,0,0,0,0,0,3,0,3,0,100
Art,0,0,0,0,0,1,1,100,0,0,100
Automation & Control Systems,1,0,0,0,0,0,1,0,0,0,0
Behavioral Sciences,2,0,0,0,0,0,2,0,2,0,100
Biochemistry & Molecular Biology,14,8,0,1,1,2,26,46,14,0,100
Biodiversity & Conservation,10,7,0,0,1,7,25,60,9,1,100
Biophysics,1,0,0,0,0,0,1,0,1,0,100
Biotechnology & Applied Microbiology,10,3,0,0,2,1,16,37,10,0,100
Business & Economics,69,9,1,0,2,1,82,15,50,19,100
Cardiovascular System & Cardiology,0,1,0,0,0,0,1,100,0,0,100
Cell Biology,0,1,0,0,0,1,2,100,0,0,100
Chemistry,29,7,0,1,0,2,39,25,24,0,87
Computer Science,5,0,0,0,0,0,5,0,3,0,60
Construction & Building Technology,1,0,0,0,0,0,1,0,1,0,100
Cultural Studies,2,0,0,0,1,0,3,33,2,0,100
Demography,1,0,0,0,0,0,1,0,1,0,100
Development Studies,3,0,0,0,0,0,3,0,3,0,100
Developmental Biology,1,0,0,0,0,0,1,0,0,1,100
Education & Educational Research,2,0,0,0,0,1,3,33,2,0,100
Endocrinology & Metabolism,1,0,0,1,0,0,2,50,1,0,100
Energy & Fuels,3,1,0,0,0,0,4,25,3,0,100
Engineering,17,4,0,0,1,0,22,22,13,0,81
Entomology,20,4,0,2,1,1,28,28,20,0,100
Environmental Sciences & Ecology,93,32,1,5,14,22,167,44,87,4,98
Evolutionary Biology,4,0,0,1,1,0,6,33,4,0,100
Fisheries,3,1,0,0,0,1,5,40,3,0,100
Food Science & Technology,104,32,0,6,2,5,149,30,94,3,95
Forestry,5,1,0,0,1,1,8,37,5,0,100
Gastroenterology & Hepatology,0,1,0,0,0,0,1,100,0,0,100
Genetics & Heredity,6,9,0,1,2,2,20,70,6,0,100
Geochemistry & Geophysics,0,1,0,0,0,0,1,100,0,0,100
Geography,13,1,1,1,1,2,19,31,12,1,100
Geology,8,2,0,0,0,0,10,20,8,0,100
Geriatrics & Gerontology,1,0,0,0,0,0,1,0,1,0,100
Health Care Sciences & Services,1,0,0,0,0,0,1,0,0,1,100
History,7,0,0,1,0,0,8,12,7,0,100
Imaging Science & Photographic Technology,2,0,0,0,0,0,2,0,2,0,100
Immunology,1,0,0,0,0,0,1,0,1,0,100
Instruments & Instrumentation,0,3,0,0,0,0,3,100,0,0,100
International Relations,2,0,0,0,0,0,2,0,2,0,100
Life Sciences & Biomedicine - Other Topics,3,1,0,1,2,2,9,66,3,0,100
Marine & Freshwater Biology,4,1,0,0,0,1,6,33,4,0,100
Materials Science,2,2,0,0,0,0,4,50,1,0,75
Mathematical & Computational Biology,2,1,0,0,0,0,3,33,2,0,100
Mathematics,0,0,0,0,1,0,1,100,0,0,100
Mechanics,1,0,0,0,0,0,1,0,1,0,100
Meteorology & Atmospheric Sciences,6,6,0,0,2,0,14,57,6,0,100
Microbiology,11,9,0,3,1,1,25,56,10,1,100
Mycology,2,0,0,0,1,0,3,33,2,0,100
Neurosciences & Neurology,0,1,0,0,0,0,1,100,0,0,100
Nutrition & Dietetics,20,2,0,0,0,2,24,16,19,1,100
Oceanography,1,0,0,0,0,2,3,66,1,0,100
Oncology,0,0,0,0,0,1,1,100,0,0,100
Operations Research & Management Science,1,0,0,0,0,0,1,0,1,0,100
Parasitology,2,0,0,0,1,0,3,33,2,0,100
Pediatrics,1,0,0,0,0,0,1,0,1,0,100
Pharmacology & Pharmacy,2,3,0,0,0,0,5,60,2,0,100
Physical Geography,5,1,0,1,1,2,10,50,5,0,100
Physics,2,0,0,0,0,0,2,0,2,0,100
Physiology,2,1,0,0,0,0,3,33,2,0,100
Plant Sciences,18,14,0,1,4,3,40,55,17,0,97
Polymer Science,4,0,0,0,0,0,4,0,4,0,100
Psychology,1,0,0,0,0,0,1,0,1,0,100
Public Administration,9,0,1,0,0,2,12,25,7,2,100
"Public, Environmental & Occupational Health",2,3,0,0,0,0,5,60,2,0,100
"Radiology, Nuclear Medicine & Medical Imaging",0,0,0,0,0,1,1,100,0,0,100
Remote Sensing,2,0,0,0,0,0,2,0,2,0,100
Reproductive Biology,2,0,0,0,0,0,2,0,1,1,100
Research & Experimental Medicine,0,0,0,0,1,0,1,100,0,0,100
Science & Technology - Other Topics,8,25,0,2,1,4,40,80,6,1,97
Social Sciences - Other Topics,28,1,0,1,3,1,34,17,27,1,100
Sociology,3,0,0,1,1,0,5,40,3,0,100
Spectroscopy,1,0,0,0,0,1,2,50,0,0,50
Sport Sciences,1,0,0,0,1,0,2,50,1,0,100
Thermodynamics,1,0,0,0,0,0,1,0,1,0,100
Toxicology,1,1,0,0,0,0,2,50,1,0,100
Transportation,5,0,0,0,0,0,5,0,5,0,100
Urban Studies,7,0,1,0,0,1,9,22,6,1,100
Veterinary Sciences,7,20,0,1,1,1,30,76,7,0,100
Water Resources,6,0,0,0,0,1,7,14,6,0,100
Women's Studies,1,0,0,0,0,0,1,100,0,0,100
Zoology,7,1,0,0,2,0,10,30,5,1,90
